Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
RAF rice cooker R-170,,259,,,21,66.6667,35,,1,0,1,0,1,,0,,,,,
big basket silicon,,260,,,8.5,76.4706,15,,1,0,1,0,1,,-2,,,,,
big wooden handle basket,,261,,,5.5,81.8182,10,,1,0,1,0,1,,-1,,,,,
small wooden handle basket,,262,,,3.5,71.4286,6,,1,0,1,0,1,,-3,,,,,
big storage box,,263,,,5.5,118.1818,12,,1,0,1,0,1,,-1,,,,,
small storage box,,264,,,4,150,10,,1,0,1,0,1,,-2,,,,,
luma bella airfryer 9002,,265,,,52,25,65,,1,0,1,0,1,,0,,,,,
RAF food steamer R-5238,,266,,,26,92.3077,50,,1,0,1,0,1,,0,,,,,
hoffman electronics air fryer HM750,,267,,,33,51.5152,50,,1,0,1,0,1,,-1,,,,,
goodlife airfryer CZG-GMD05,,268,,,22,59.0909,35,,1,0,1,0,1,,0,,,,,
wove pan with pan,,269,,,9,66.6667,15,,1,0,1,0,1,,-11,,,,,
wove pan,,270,,,5.5,81.8182,10,,1,0,1,0,1,,-11,,,,,
wove stone,,271,,,5,100,10,,1,0,1,0,1,,-6,,,,,
hot chef pan 8527,,272,,,4,150,10,,1,0,1,0,1,,-2,,,,,
wovw stone pan,,273,,,5.2,92.3077,10,,1,0,1,0,1,,0,,,,,
pan 8797,,274,,,5.2,92.3077,10,,1,0,1,0,1,,0,,,,,
pan 8800,,275,,,7,114.2857,15,,1,0,1,0,1,,-3,,,,,
wove pan 7598,,276,,,5.2,92.3077,10,,1,0,1,0,1,,-3,,,,,
maifansi pan 8803,,277,,,4,150,10,,1,0,1,0,1,,-2,,,,,
hot chef 20cm pan with lid,,278,,,7.2,108.3333,15,,1,0,1,0,1,,-1,,,,,
sokany electric kettle SK-09015,,279,,,9,66.6667,15,,1,0,1,0,1,,-6,,,,,
single cooker box,,280,,,15,33.3333,20,,1,0,1,0,1,,0,,,,,
stanely vaccum cup,,281,,,0,0,12,,1,0,1,0,1,,-4,,,,,
bang vacuum cup,,282,,,3.2,150,8,,1,0,1,0,1,,-11,,,,,
vacuum insulated cup,,283,,,3,166.6667,8,,1,0,1,0,1,,-14,,,,,
classic bottle 900ml,,284,,,4.8,108.3333,10,,1,1,1,0,1,,-4,,,,,
smart cup led display temperature,,285,,,2.7,122.2222,6,,1,0,1,0,1,,-7,,,,,
stainless 1 nox bottle 750ml,,286,,,4,150,10,,1,0,1,0,1,,0,,,,,
vaccum stainless steel flask,,287,,,5.6,78.5714,10,,1,0,1,0,1,,-8,,,,,
switch stanely cup,,288,,,6.1,96.7213,12,,1,0,1,0,1,,-1,,,,,
coffee cup,,289,,,4.9,104.0816,10,,1,0,1,0,1,,0,,,,,
coffee mug,,290,,,3.68,117.3913,8,,1,0,1,0,1,,-1,,,,,
coffe cup,,291,,,3.35,138.806,8,,1,0,1,0,1,,-2,,,,,
good luck everyday coffee cup,,292,,,2.7,122.2222,6,,1,0,1,0,1,,-1,,,,,
healthy happy bottle,,293,,,3,166.6667,8,,1,0,1,0,1,,-2,,,,,
32'' keson ord tv,,294,,,75,23.0769,92.31,,1,1,1,0,1,,-83,,,,,
